1,貴信(귀할귀 믿을신) 불고기,장보경,서초동 1302-38 동원빌딩 1층 101호,02-591-3326,한식,불고기
2,주식회사 서초동연가 서초별관점,장보경,서초동 1302-38 1층 103호,02-591-0281,한식,우거지국밥
3,인근주민 강남본점,이철우,서초동 1302-38 2층/3층,02-591-2087,한식,파스타
4,서울집,이종혁,서초동 1302-2 1층 5호/ 6호 대지프라자,02-3482-1224,한식,곰탕
5,참이맛 감자탕,김옥영 외 1명,서초동 1302-44 1층,02-3481-3399,한식,감자탕
6,스시가,김윤선,서초동 1302-45 양정빌딩 2층 가호,02-3481-3071,일식,스시정식
7,강남껍데기,조연수,서초동 1303-10 서초한일유앤아이주상복합 1층 113호,02-534-5572,한식,김치찌개/삼겹살
8,강남역 파스타,이진한,서초동 1307-4,02-3482-0959,양식,파스타
9,이자카야 나무  (서초),김충기 외 1명,서초동 1307-11 지하1층~지상4층,02-535-0348,일식,연어요리
10,강남본점,신철호,서초동 1308 201호/ 203호/ 204호,02-536-4133,한식,칼국수
11,제주흑다돈 강남직영점,강정호,서초동 1308-15 1층,02-3482-2090,한식,삼겹살
12,에머이 강남대로점,김미정,서초동 1308-16 102/103/105/107/108/109호,02-534-7174,기타,쌀국수
13,장꼬방,김현수,서초동 1316 1층,02-597-5511,한식,단팥죽
14,주식회사 맛있는이야기 노랑저고리,이승철,서초동 1316-29 타임빌딩 601호,02-534-5300,한식,노랑정식
15,피제리아 하이웨이트립,최영구,서초동 1316-30 1층/2층,02-535-8128,양식,피자
16,(주)이춘복스시강남,이춘복,서초동 1317 1층 2층,02-591-4558,일식,스시
17,하루하루,정재영,서초동 1317-20 아라타워 201-1~214-1일부,02-595-4952,기타,샤브샤브
18,연타발,황숙희,서초동 1317-20 외4필지 지하1층,02-536-9282,한식,등심
19,강가,이덕형 외 1명,서초동 1320-10 삼성전자사옥 지하1층,02-2059-3610,기타,인도요리
20,소만옥,이정주,서초동 1320-10 지하1층,02-587-9005,한식,갈비탕
21,서초사리원,나성윤,서초동 1321-7,02-3474-5005,한식,불고기
22,스시 다미선,신명리,서초동 1327-8 스퀘어큐브 2층,02-582-3328,일식,스시정식
23,강남정,김영균,서초동 1327-13 B101호 일부,02-584-8221,한식,한우가마솥국밥
24,서동한우 강남점,백경희,서초동 1327-29 서초파라곤 201호/208호,02-3474-9297,한식,한우구이
25,모랑 강남점,김지완,서초동 1328-11 대우도씨에빛2 212호,02-521-3980,한식,해물돌솥밥
26,해우담 서초본점,박소희,서초동 1329-4 우남빌딩 지하1층,02-522-4211,한식,해산물한정식
27,봉피양,김영환,서초동 1330 1층 103호,02-587-7018,한식,냉면
28,더하누,유준희,서초동 1330-4 아루누보씨티2 101/102/109/111/112/113/114호,02-584-9392,한식,등심
