마켓번호,마켓이름,음식,가격,오류
1,貴信(귀할귀 믿을신) 불고기,불고기(200g),19000,
1,貴信(귀할귀 믿을신) 불고기,낚지볶음,25000,
1,貴信(귀할귀 믿을신) 불고기,도토리 묵무침,10000,
1,貴信(귀할귀 믿을신) 불고기,해초국수(후식),3000,
1,貴信(귀할귀 믿을신) 불고기,공기밥,2000,
2,주식회사 서초동연가 서초별관점,박살사시미(육사시미)(250g),45000,
2,주식회사 서초동연가 서초별관점,육회,28000,
2,주식회사 서초동연가 서초별관점,수육,30000,
2,주식회사 서초동연가 서초별관점,간천엽,20000,
2,주식회사 서초동연가 서초별관점,버섯구이,15000,
2,주식회사 서초동연가 서초별관점,묵냉채,10000,
2,주식회사 서초동연가 서초별관점,불청육회,30000,
2,주식회사 서초동연가 서초별관점,도가니,30000,
2,주식회사 서초동연가 서초별관점,불고기,30000,
2,주식회사 서초동연가 서초별관점,더덕육회,30000,
2,주식회사 서초동연가 서초별관점,더덕무침,20000,
2,주식회사 서초동연가 서초별관점,박살사시미&육회,45000,
2,주식회사 서초동연가 서초별관점,박살사시미&수육,55000,
2,주식회사 서초동연가 서초별관점,육회&수육,50000,
2,주식회사 서초동연가 서초별관점,묵무침,20000,
3,인근주민 강남본점,퐁듀통닭,24000,카테고리: 치킨
3,인근주민 강남본점,이태리통닭,23000,
3,인근주민 강남본점,숯불바베큐통닭,21000,
3,인근주민 강남본점,허니콘치즈통닭,22000,
3,인근주민 강남본점,파마늘통닭,17000,
3,인근주민 강남본점,현미통닭,15000,
3,인근주민 강남본점,닭불고기,18000,
3,인근주민 강남본점,얼큰통닭,22000,
3,인근주민 강남본점,허니매콤간장통닭,20000,
3,인근주민 강남본점,리코타치즈피자,15000,
3,인근주민 강남본점,로제불고기피자,15000,
3,인근주민 강남본점,아몬드불고기피자,12000,
3,인근주민 강남본점,이베리코 바질피자,12000,
3,인근주민 강남본점,부채살스테이크,15000,
3,인근주민 강남본점,오돌뼈주먹밥,15000,
3,인근주민 강남본점,치즈 포테이토,10000,
3,인근주민 강남본점,쉬림프 크림/로제 스위트 마늘빵,13000,
3,인근주민 강남본점,가마보꼬어묵탕,13000,
3,인근주민 강남본점,통오징어해물 짬뽕탕,18000,
3,인근주민 강남본점,국물떡볶이,12000,
3,인근주민 강남본점,골뱅이무침,13000,
3,인근주민 강남본점,윙봉튀김,12000,
3,인근주민 강남본점,치킨가라아게,12000,
3,인근주민 강남본점,철판치즈소시지,12000,
3,인근주민 강남본점,해물라면,4500,
3,인근주민 강남본점,열대과일 리코타치즈 샐러드,11000,
3,인근주민 강남본점,화덕 먹태구이,12000,
3,인근주민 강남본점,화덕모둠포,14000,
3,인근주민 강남본점,갈릭바게트,4000,
3,인근주민 강남본점,인도 난,4000,
3,인근주민 강남본점,치즈볼,5000,
3,인근주민 강남본점,셀프주먹밥,4000,
3,인근주민 강남본점,황도,5000,
4,서울집,우삼겹(180g),12000,
4,서울집,삼겹살(180g),14000,
4,서울집,갈비살(180g),18000,
4,서울집,된장찌개,1000,
4,서울집,공기밥,1000,
5,참이맛 감자탕,"참이맛감자탕(소,중,대)",35000,
5,참이맛 감자탕,"묵은지감자탕(소,중,대)",38000,
5,참이맛 감자탕,"참이맛등뼈찜(중,대)",40000,
5,참이맛 감자탕,뼈해장국,8000,
5,참이맛 감자탕,불고기뚝배기,8000,
