1 貴 信(귀할귀 믿을신) 불고기
2 주 식회사 서초동연가 서초별관점
3 인 근주민 강남본점
4 서 울집
5 참 이맛 감자탕
6 스 시가
7 강 남껍데기
8 강 남역 파스타
9 이 자카야 나무  (서초)
10  강남본점
11  제주흑다돈 강남직영점
12  에머이 강남대로점
13  장꼬방
14  주식회사 맛있는이야기 노랑저고리
15  피제리아 하이웨이트립
16  (주)이춘복스시강남
17  하루하루
18  연타발
19  강가
20  소만옥
21  서초사리원
22  스시 다미선
23  강남정
24  서동한우 강남점
25  모랑 강남점
26  해우담 서초본점
27  봉피양
28  더하누
29  강남역 기와집 양대창
30  진대감 강남역 삼성타운점
31  됐소 강남
32  두껍삼 강남직영점
33  초선과여포
34  삼성각
35  조선횟집 서초점
36  한라담 강남역점
37  진상샤브샤브
38  (주)미가미
39  삼호복집
40  만다린
41  참설농탕
42  남강메기 서초직영점
43  듬북담북(뱅뱅점)
44  서초버드나무집
45  육갑식당
46  한국수
47  춘향골 추어탕
48  오곡채
49  명선헌
50  김영자 원조 나주곰탕(서초점)
51  한촌설렁탕
52  황금빛 마을
53  서초복집
54  자인뭉티기
55  청정횟집
56  순남시래기
57  신가예촌
58  예촌
59  진주청국장
60  수미관
61  부일갈비
62  송쉐프
63  강촌식당 서초점
64  신선설농탕
65  선궁
66  서초갈비
67  백년 한정식
68  소들녘 서초점
69  da Pitta(다 피타)
70  영변
71  신박사 콩사랑
72  다피타(da pitta)
73  서초정육식당
74  영양센타 서초역점
75  수원본갈비1993
76  리스토란떼 일 디토 서초
77  진도울돌목가는길
78  미유끼
79  미각
80  포메인서초점
81  부산아지매국밥 서초역점
82  BABBO PIZZA(밥보피자)
83  서초 불쭈꾸미
84  리향
85  가조고향마을
86  초원복집
87  향나무집
88  서귀포 오분작 뚝배기
89  서초면옥
90  우리바다생태찌개
91  하남돼지집 교대점
92  나나마구로
93  신촌설렁탕 교대역점
94  대찬횟집 교대점
95  옛날전통육개장 전문점 육대장 한방보쌈·전골
96  원당
97  서초 장어타운
98  모악정
99  봉추찜닭
100  리밍
101  한우플러스
102  가온매운갈비찜
103  크래버 대게나라
104  앨리스가든 플라워앤티 하우스
105  삼대나주곰탕
106  서초아구찜
107  국수명가
108  든든한우家
109  함평한우 정육식당
110  홍천한우
111  동수원갈비
112  우작설렁탕
113  소공동뚝배기집 교대점
114  애향
115  주식회사 서석대
116  늘봄웰봄
117  서초 해물찜
118  미타니야 교대역점
119  용봉대반점
120  서초보쌈
121  태평양
122  교대강릉집
123  신태평양
124  설국
125  짝꿍 떡볶이
126  엉터리생고기 교대역점
127  빛고을으뜸추어탕
128  만경생태
129  송학횟집
130  기와집순두부
131  한우명가 노고단
132  황궁
133  남도미락
134  대나무골
135  램하우스 서초법원점
136  우밀면옥 교대점
137  장원한정식
138  이남장(서초점)
139  서초원
140  전주가
141  북해도
142  오발탄
143  오선채
144  일품헌
145  인덕원비빔국수
146  갈비사랑
147  백마 김씨네
148  영동회관
149  청정해참치
